metric,value
true_positives_count,101
false_positives_count,5166
false_negatives_count,754
true_negatives_count,0
precision,0.01917600151889121
recall,0.11812865497076024
f1_score,0.03299575302188827
true_positives_value,"507 Banks Street, Northampton, PA 18067"
true_positives_value,"3528 Brisban Street Harrisburg, PA 17111"
true_positives_value,"2428 MERCER STREET, HARRISBURG, PA 17104"
true_positives_value,"319 West Front Street Media, PA 19063"
true_positives_value,"22, 2024 Bar Association Page Back Pages The Dauphin County Reporter Edited and published by the Dauphin County Bar Association 213 North Front Street Harrisburg, PA 17101"
true_positives_value,"102 SOUTH LIBERTY STREET, MASONTOWN, PA 15461 TAX PARCEL"
true_positives_value,"779 NEW GENEVA ROAD, POINT MARION, PA 15474 TAX PARCEL"
true_positives_value,"2145 Market Street Camp Hill, PA 17011"
true_positives_value,"1805 Northampton Avenue, Northampton, PA 18067"
true_positives_value,"176 Upper Ferry Road, Ewing, NJ 08628 and John Robert Missimer, 5208 Fairlake Lane, Glen Allen, VA 23060"
true_positives_value,"104 Douglas Drive Saxonburg, PA 16056"
true_positives_value,"720 Vanderbilt Road Connellsville, PA 15425"
true_positives_value,"8189 Streamside Drive, Pittsburgh, PA 15237"
true_positives_value,"16596 Walnut Creek Drive, Strongsville, OH 44149"
true_positives_value,"26 MULBERRY STREET, BELLE VERNON, PA 15012 TAX PARCEL"
true_positives_value,"176 CIRCLE RD, BELLEFONTE, PA 16823"
true_positives_value,"922 Bustleton Pike Feasterville, PA 19053"
true_positives_value,"Theresa Jean Rapp, 4658 Steven Lane, Walnutport, PA 18088"
true_positives_value,"4918 Canyon Creek Trail, Gibsonia, PA 15044"
true_positives_value,"512 Cedar Street Reading, PA 19601"
true_positives_value,"813 Blackstone Road Connellsville, PA 15425"
true_positives_value,"240 East Beaver Street, Mercer, PA 16137"
true_positives_value,"555 Gettysburg Pike, Mechanicsburg, PA 17055"
true_positives_value,"20 Balthaser Road, Sinking Spring, PA 19608"
true_positives_value,"1020 SCENERY DRIVE, HARRISBURG, PA 17109"
true_positives_value,"402 Wimer Drive, Pittsburgh, PA 15237"
true_positives_value,"520 Walnut Street, Reading, PA 19601"
true_positives_value,"15019 Kutztown Road Kutztown, PA 19530"
true_positives_value,"641 Klinger Road, Millersburg, PA 17061"
true_positives_value,"878 Barnesville Drive, Barnesville, PA 18214"
true_positives_value,"18 East Market Street, Bethlehem, PA 18018"
true_positives_value,"123 Lily Drive, Glenshaw, Pennsylvania 15116"
true_positives_value,"1121 East Gibson Avenue, Connellsville, Pennsylvania 15425"
true_positives_value,"800 Bridge Road, Halifax, PA 17032"
true_positives_value,"1273 Lancaster Avenue, Berwyn, PA 19312"
true_positives_value,"169 Carmella Drive, White Oak, PA 15131"
true_positives_value,"719 SNYDERTOWN RD, HOWARD, PA 16841"
true_positives_value,"340 Spring Garden Street, Easton, PA 18042"
true_positives_value,"359 Cole Road, Sarver, PA 16055"
true_positives_value,"593 Bethlehem Pike, Montgomeryville, PA 18936"
true_positives_value,"124 Belvidere Street, Nazareth, PA 18064"
true_positives_value,"2612 Shingus Circle, Mechanicsburg, PA 17055"
true_positives_value,"650 Delp Road Lancaster, PA 17601"
